model_id,lema,kalimat_jawa,glos_indonesia,jawaban_model,cocok_persis,f1_kata_isi,chrf,latency_ms,biaya_usd,tokens_in,tokens_out
mistral-small-3,Mekaten,"Menawi kersa, aturipun kedah mekaten panjenenganipun.","Kalau mau, bicaranya harus begitu kepada beliau.","Menurut saya, mungkin Anda salah mengerti.",0,0.0,0.158,1093,1.168e-05,216,11
mistral-small-3,Biyuh,"Biyuh, larane awakku ki mbok yo dirasake!","Aduh, sakitnya aku ini coba kamu rasakan!","Biyuh, larane awakku ki mbok yo dirasake!",0,0.0,0.236,1095,1.209e-05,213,18
mistral-small-3,Mrika,"Menawi kersa, Panjenengan saged tindak mrika nitih taksi.","Kalau mau, Anda bisa pergi ke sana naik taksi.","Menurut saya, Anda harus menunggu taksi.",0,0.308,0.288,833,1.189e-05,217,13
mistral-small-3,Amergi,Kulo boten saged sowan amergi nembe mriyang.,Saya tidak bisa datang karena sedang sakit demam.,Saya tidak bisa mengetahui apa yang dimaksud dengan kalimat tersebut.,0,0.333,0.444,1121,1.219e-05,215,18
mistral-small-3,Pinarak,"Monggo, Pak Lik, pinarak rumiyin.","Silakan, Paman, mampir dulu","Mohon, Pak Lik, tolong bantu.",0,0.0,0.182,574,1.146e-05,210,12
mistral-small-3,Bladak,"Tuku bladak loro wae, enak banget dipangan awan-awan ngene.","Beli bakwan dua saja, enak sekali dimakan siang-siang begini.","Tukang bledak dua wajah, enak banget dimakan awan-awan ngene.",0,0.353,0.381,853,1.295e-05,219,25
mistral-small-3,Tampah,Mbok Sarmi nggawa tampah isi tempe mendoan sing isih kemebul.,Ibu Sarmi membawa nampan bambu berisi tempe mendoan yang masih berasap panas,Mbok Sarmi membuat tampah isi tempe mendoan yang enak.,0,0.333,0.477,655,1.252e-05,220,19
mistral-small-3,Tur,Iwak iki daginge empuk tur rasane enak banget,Ikan ini dagingnya empuk dan rasanya enak sekali,Daging ini empuk dan rasanya enak banget.,0,0.667,0.631,693,1.177e-05,213,14
mistral-small-3,Nggawe,Mambu bawang goreng iki nggawe wetengku dadi ngelih tenan.,Bau bawang goreng ini membuat perutku menjadi sangat lapar.,Membuat bawang goreng ini membuat perutku kenyang.,0,0.615,0.65,614,1.236e-05,220,17
mistral-small-3,Gabah,"Gabah sing dipe neng latar wis garing, ndang dilebokne karung.","Gabah yang dijemur di halaman sudah kering, segera masukkan ke karung.","Gabah yang disimpan di belakang rumah sudah kering, tetapi tidak dibungkus karung.",0,0.429,0.506,2221,1.271e-05,219,22
mistral-small-3,Ageman,Ageman batik punika dipun ginakaken nalika sowan dhateng keraton.,Pakaian batik ini digunakan saat berkunjung ke keraton.,Batik itu dibuat untuk dipakai saat pergi ke keraton.,0,0.4,0.444,628,1.21e-05,218,15
mistral-small-3,Nggawa,Aku mrene nggawa oleh-oleh kanggo kowe.,Aku ke sini membawa oleh-oleh untukmu.,Aku mau bawa oleh-oleh untuk kamu.,0,0.25,0.604,985,1.161e-05,213,12
mistral-small-3,Gakpati,"Gakpati panas kok dino iki, santai ae rek.","Tidak terlalu panas kok hari ini, santai saja.","Gakpati panas kok dino iki, santai ae rek.' = 'Gakpati panas kok hari ini, santai aja ya.",0,0.375,0.566,1047,1.353e-05,213,36
mistral-small-3,Ningali,"Mbah, panjenengan napa ningali dompet kula wonten meja tamu?","Mbah, apakah Anda melihat dompet saya di meja tamu?","Mbah, kenapa Anda mencari dompet saya di meja tamu?",0,0.75,0.697,921,1.234e-05,218,18
mistral-small-3,Kupat,Kupat opor ayam iku makanan favoritku pas Lebaran.,Ketupat opor ayam itu makanan favoritku saat Lebaran.,Kupat opor ayam itu makanan favoritku saat Lebaran.,0,0.833,0.951,677,1.214e-05,214,18
mistral-small-3,Celuk,"Kowe mau diceluk Pak Guru, ayo ndang maju!","Kamu tadi dipanggil Pak Guru, ayo segera maju!","Kamu mau diceluk Pak Guru, ayo jangan maju!",0,0.625,0.487,636,1.188e-05,212,16
mistral-small-3,Meh,"Kowe jare meh turu, tapi kok isih nonton TV?","Kamu katanya mau tidur, tapi kok masih nonton TV?","Kamu sudah makan, tapi kenapa masih nonton TV?",0,0.545,0.55,583,1.203e-05,215,16
mistral-small-3,Songo,Aku tuku jeruk songo iki kanggo ibu.,Aku beli jeruk sembilan ini untuk ibu.,Aku beli jeruk dua ini untuk ibu.,0,0.8,0.726,695,1.151e-05,211,12
mistral-small-3,mbok menawa,Mbok menawa sesuk udane mandheg.,Barangkali besok hujannya berhenti.,Ibu sedang senang sekali.,0,0.0,0.169,1139,1.109e-05,209,8
mistral-small-3,ora ilok,Metu wengi-wengi kuwi ora ilok.,Keluar malam-malam itu tidak pantas.,Mereka berjalan-jalan ke sana tidak ada.,0,0.0,0.253,1025,1.167e-05,211,14
gemini-3.5-flash,Mekaten,"Menawi kersa, aturipun kedah mekaten panjenenganipun.","Kalau mau, bicaranya harus begitu kepada beliau.","Jika berkenan, perkataan beliau harus demikian.",0,0.364,0.319,4598,0.0057795,49,634
gemini-3.5-flash,Biyuh,"Biyuh, larane awakku ki mbok yo dirasake!","Aduh, sakitnya aku ini coba kamu rasakan!","Aduh, sakitnya badanku ini tolonglah dirasakan!",0,0.364,0.59,4960,0.0053535,47,587
gemini-3.5-flash,Mrika,"Menawi kersa, Panjenengan saged tindak mrika nitih taksi.","Kalau mau, Anda bisa pergi ke sana naik taksi.","Jika berkenan, Anda bisa pergi ke sana naik taksi.",0,0.857,0.796,4055,0.0045405,51,496
gemini-3.5-flash,Amergi,Kulo boten saged sowan amergi nembe mriyang.,Saya tidak bisa datang karena sedang sakit demam.,Saya tidak bisa berkunjung karena sedang sakit.,0,0.667,0.721,3943,0.0043455,47,475
gemini-3.5-flash,Pinarak,"Monggo, Pak Lik, pinarak rumiyin.","Silakan, Paman, mampir dulu","Silakan, Paman, duduk dulu.",0,0.75,0.646,4101,0.004287,44,469
gemini-3.5-flash,Bladak,"Tuku bladak loro wae, enak banget dipangan awan-awan ngene.","Beli bakwan dua saja, enak sekali dimakan siang-siang begini.","Beli bladak dua saja, enak sekali dimakan siang-siang begini.",0,0.875,0.882,6239,0.007419,50,816
gemini-3.5-flash,Tampah,Mbok Sarmi nggawa tampah isi tempe mendoan sing isih kemebul.,Ibu Sarmi membawa nampan bambu berisi tempe mendoan yang masih berasap panas,Mbok Sarmi membawa tampah berisi tempe mendoan yang masih mengepul.,0,0.556,0.644,3918,0.0041295,53,450
gemini-3.5-flash,Tur,Iwak iki daginge empuk tur rasane enak banget,Ikan ini dagingnya empuk dan rasanya enak sekali,Ikan ini dagingnya empuk dan rasanya sangat enak.,0,1.0,0.818,3509,0.003774,44,412
gemini-3.5-flash,Nggawe,Mambu bawang goreng iki nggawe wetengku dadi ngelih tenan.,Bau bawang goreng ini membuat perutku menjadi sangat lapar.,Bau bawang goreng ini membuat perutku jadi sangat lapar.,0,0.857,0.911,3493,0.0036015,49,392
gemini-3.5-flash,Gabah,"Gabah sing dipe neng latar wis garing, ndang dilebokne karung.","Gabah yang dijemur di halaman sudah kering, segera masukkan ke karung.","Gabah yang dijemur di halaman sudah kering, segera masukkan ke dalam karung.",0,1.0,0.958,3176,0.0030645,51,332
gemini-3.5-flash,Ageman,Ageman batik punika dipun ginakaken nalika sowan dhateng keraton.,Pakaian batik ini digunakan saat berkunjung ke keraton.,Pakaian batik ini digunakan saat berkunjung ke keraton.,1,1.0,1.0,5758,0.00525,50,575
gemini-3.5-flash,Nggawa,Aku mrene nggawa oleh-oleh kanggo kowe.,Aku ke sini membawa oleh-oleh untukmu.,Aku ke sini membawa oleh-oleh untukmu.,1,1.0,1.0,2809,0.002577,44,279
gemini-3.5-flash,Gakpati,"Gakpati panas kok dino iki, santai ae rek.","Tidak terlalu panas kok hari ini, santai saja.","Tidak terlalu panas kok hari ini, santai saja teman-teman.",0,0.8,0.929,4709,0.006033,44,663
gemini-3.5-flash,Ningali,"Mbah, panjenengan napa ningali dompet kula wonten meja tamu?","Mbah, apakah Anda melihat dompet saya di meja tamu?","Mbah, apakah Anda melihat dompet saya di meja tamu?",1,1.0,1.0,4591,0.0058695,49,644
gemini-3.5-flash,Kupat,Kupat opor ayam iku makanan favoritku pas Lebaran.,Ketupat opor ayam itu makanan favoritku saat Lebaran.,Ketupat opor ayam adalah makanan favoritku saat Lebaran.,0,1.0,0.879,4239,0.003975,46,434
gemini-3.5-flash,Celuk,"Kowe mau diceluk Pak Guru, ayo ndang maju!","Kamu tadi dipanggil Pak Guru, ayo segera maju!","Kamu tadi dipanggil Pak Guru, ayo segera maju!",1,1.0,1.0,2905,0.0034335,45,374
gemini-3.5-flash,Meh,"Kowe jare meh turu, tapi kok isih nonton TV?","Kamu katanya mau tidur, tapi kok masih nonton TV?","Kamu katanya mau tidur, tapi kok masih nonton TV?",1,1.0,1.0,2914,0.0031935,47,347
gemini-3.5-flash,Songo,Aku tuku jeruk songo iki kanggo ibu.,Aku beli jeruk sembilan ini untuk ibu.,Aku membeli sembilan jeruk ini untuk ibu.,0,0.8,0.772,2866,0.003138,40,342
gemini-3.5-flash,mbok menawa,Mbok menawa sesuk udane mandheg.,Barangkali besok hujannya berhenti.,Mungkin besok hujannya berhenti.,0,0.75,0.739,3162,0.0032325,43,352
gemini-3.5-flash,ora ilok,Metu wengi-wengi kuwi ora ilok.,Keluar malam-malam itu tidak pantas.,Keluar malam-malam itu tidak baik.,0,0.75,0.809,3524,0.004026,44,440
