waktu_utc	gerbang	label	ringkasan
2026-07-31T12:25Z	wild	[backfill] baseline sebelum kerja task-21/23/24	issue_total=3741 | per_1k=25.13 | per_rule=merge:315,puebi:434,slang:288,split:203,typo:2501 | crash=? | kalimat=10000 | kata=148839 | detik=? | lexicon=?
2026-07-31T17:17Z	wild	[backfill] setelah impor leksikon saja	issue_total=3363 | per_1k=22.60 | per_rule=merge:283,puebi:595,slang:288,split:135,typo:2062 | crash=? | kalimat=10000 | kata=148839 | detik=? | lexicon=?
2026-07-31T18:22Z	wild	[backfill] sebelum task-23	issue_total=3049 | per_1k=20.49 | per_rule=merge:284,puebi:633,slang:288,split:136,typo:1708 | crash=? | kalimat=10000 | kata=148839 | detik=? | lexicon=?
2026-07-31T18:42Z	wild	[backfill] pertengahan task-23	issue_total=2954 | per_1k=19.85 | per_rule=merge:242,puebi:626,slang:289,split:136,typo:1661 | crash=? | kalimat=10000 | kata=148839 | detik=? | lexicon=?
2026-07-31T19:21Z	wild	[backfill] sebelum pengerasan robustness	issue_total=2783 | per_1k=18.70 | per_rule=merge:208,puebi:524,slang:290,split:75,typo:1686 | crash=? | kalimat=10000 | kata=148839 | detik=? | lexicon=?
2026-07-31T19:31Z	wild	[backfill] sebelum task-24	issue_total=2729 | per_1k=18.34 | per_rule=merge:196,puebi:524,slang:290,split:72,typo:1647 | crash=? | kalimat=10000 | kata=148839 | detik=? | lexicon=?
2026-08-01T11:32Z	fp	task-24 lantai panjang typo 2->4	fp_total=0 | per_1k=0.00 | per_rule=- | crash=0 | kata=2075 | lexicon=72608
2026-08-01T11:32Z	recall	task-24 lantai panjang typo 2->4	recall=78/80 (97.5%) | saran=78/78 (100.0%) | miss=2 | saran_salah=0 | over_flag=2 | lexicon=72608 | onnx=ready
2026-08-01T11:41Z	wild	task-24 lantai panjang typo 2->4	issue_total=2483 | per_1k=16.68 | per_rule=merge:196,puebi:524,slang:290,split:72,typo:1401 | crash=0 | kalimat=10000 | kata=148839 | detik=505.8 | lexicon=72608
2026-08-01T12:11Z	probe	probe v1 smoke	pasangan=200 | pulih_utuh=144/200 (72.0%) | ditandai=96.5% | saran_benar=74.6% | kontrol_salah_tandai=0/200 (0.0%) | per_kelas_tandai/saran=ganda:97/87,hapus:98/70,substitusi:96/82,tukar:95/57 | dibuang_kata_sah=12 | seed=0x5eed1234abcd0001
2026-08-01T12:26Z	probe	probe v1 baseline	pasangan=1500 | pulih_utuh=1103/1500 (73.5%) | ditandai=95.3% | saran_benar=77.1% | kontrol_salah_tandai=11/1500 (0.7%) | per_kelas_tandai/saran=ganda:96/91,hapus:97/71,substitusi:94/82,tukar:95/63 | sebab_salah=pengambilan:85,peringkat:242 | symspell_vs_dikirim=88.5%/77.1% (-11.3pp) | dibuang_kata_sah=156 | seed=0x5eed1234abcd0001
