lema,definisi_kamus,definisi_tambahan,jumlah_makna,kunci,jumlah_kunci,kunci_asal
akeh,"Akeh merujuk pada jumlah yang banyak atau besar, sering digunakan dalam konteks informal atau slang di wilayah Jawa untuk menyatakan sesuatu dalam kuantitas yang lebih besar dari biasanya.",,1,banyak | melimpah | berlimpah | banyak sekali,4,mesin
Anggitan,"Karangan, tulisan, atau hasil cipta seseorang; berasal dari tradisi sastra Jawa dan merujuk pada sebuah *karya tulis* yang disusun atau dikarang, setara dengan kata umum ""karangan"" atau ""tulisan"" dalam bahasa Indonesia sehari-hari.",,1,karangan | tulisan | karya tulis | hasil cipta | gubahan,5,mesin
bajigur,"Bajigur adalah plesetan yang lebih halus untuk umpatan kasar ""Bajingan"". Biasanya diucapkan oleh orang yang terbiasa berbahasa Jawa.","Nomina yang menyebut minuman tradisional panas berbahan santan, gula aren, dan jahe. Berasal dari daerah Sunda, tetapi lazim dikenal dan dijajakan pula di wilayah Jawa, biasanya disajikan pada malam hari atau saat cuaca dingin.",2,bajingan | makian halus | keparat | minuman tradisional | minuman santan,5,mesin
Balung,"Kata dalam bahasa Jawa yang merujuk pada ""tulang"", yaitu jaringan keras yang membentuk kerangka tubuh makhluk hidup, baik manusia maupun hewan.",,1,tulang | kerangka,2,mesin
bantet,"Kata dalam bahasa Jawa yang berarti tumbuh tidak sempurna, kerdil, atau terhambat pertumbuhannya, baik secara fisik maupun perkembangan.",,1,kerdil | tidak sempurna | terhambat | tidak berkembang | tumbuh kerdil | pendek | gemuk,7,mesin
Bedat,"Kondisi suatu benda yang mengalami kerusakan berupa *robek*, *bocor*, atau *retak* akibat tekanan berlebih, kelebihan beban muatan, atau benturan fisik seperti jatuh.",,1,robek | bocor | retak | sobek,4,mesin
Bisane,"Bentuk informal dan dialektal dari kata `bisanya` dalam bahasa Jawa-Indonesia, yang merujuk pada *kemampuan* atau hal yang lazim dilakukan oleh seseorang, sering kali dengan nuansa keterbatasan atau sindiran bahwa seseorang hanya mampu melakukan hal tertentu saja.","Dalam ragam percakapan Jawa, dipakai di awal kalimat untuk menyatakan keheranan atau menuntut penjelasan atas sesuatu yang dianggap ganjil, setara dengan ""kok bisa"" atau ""bagaimana bisa"" dalam bahasa Indonesia. Contoh pemakaiannya *bisane kok ngono* 'kok bisa begitu'.",2,bisanya | kemampuan | hanya bisa | sanggupnya | kok bisa | bagaimana bisa,6,mesin
Blumbang,"Wadah air berukuran besar yang biasanya berupa galian tanah untuk memelihara ikan atau menampung air. Istilah ini sering merujuk pada ""kolam"" tradisional atau kubangan air yang luas di area pedesaan.",,1,kolam | kubangan | empang | kolam ikan,4,mesin
Bolo,"Teman atau sahabat dalam ragam percakapan Jawa Tengah, khususnya dialek Semarang. Kata ini berfungsi sebagai sebutan *akrab* untuk menandai kedekatan atau sebagai ungkapan penegasan loyalitas antara penutur dan lawan bicara. Bentuk kepunyaan umum muncul sebagai ""boloku"", ""bolomu"", atau ""bolone"".","Kumpulan orang yang berpihak, mengikuti, atau mendukung seseorang; kelompok atau golongan. Merupakan lafal setempat dari bentuk baku ""bala"", seperti pada *balane sapa* 'pengikut siapa'. | Nomina yang mengacu pada pasukan atau laskar, yakni sekumpulan orang bersenjata yang berada di bawah satu pimpinan. Makna ini tampak jelas pada gabungan kata ""bala tentara"".",3,teman | sahabat | kawan | kelompok | pengikut | pendukung | pasukan,7,mesin
Bondho,"Bondho merujuk pada modal, harta, atau bekal. Kata ini sering digunakan dalam konteks kekayaan material atau sumber daya yang dimiliki.",,1,modal | harta | bekal | kekayaan,4,mesin
Bongko,"Adjektiva dalam bahasa Jawa Ngoko yang menyatakan kondisi *sangat lelah* sekaligus *sangat kesal* atau frustrasi yang mendalam, sering diucapkan dalam nada emosional atau marah akibat perilaku seseorang maupun situasi yang menjengkelkan.","Nomina yang menyebut penganan tradisional Jawa, umumnya berbahan santan dan dibungkus daun pisang lalu dikukus. Dikenal dalam beberapa jenis, antara lain bongko kopyor dari Gresik dan bongko mento.",2,sangat lelah | capek | kesal | frustrasi | jengkel | penganan | makanan tradisional | daun pisang | dikukus,9,penutur
Briwut,"Kondisi penglihatan atau pandangan yang ""tidak jelas"", ""kabur"", atau ""buram"", sering diakibatkan oleh gangguan pada mata atau objek yang menghalangi. Dapat juga merujuk pada kondisi mental yang tidak fokus atau bingung.",,1,kabur | buram | tidak jelas | bingung | tidak fokus,5,mesin
Carane,"Cara atau ""metode"" yang digunakan seseorang dalam melakukan sesuatu, merupakan bentuk informal dari ""caranya"" yang berasal dari kata dasar `cara` dengan penambahan sufiks `-ne` (nyèn) dalam dialek Jawa, menghasilkan makna ""caranya"" atau ""cara-caranya"".",,1,caranya | cara | metode,3,mesin
Celuk,"Kata kerja dalam bahasa Jawa yang berarti *memanggil* seseorang, baik secara langsung maupun dari jarak tertentu. Bentuk pasifnya `diceluk` berarti ""dipanggil"" oleh orang lain.",,1,memanggil | panggil | dipanggil,3,mesin
Cempe,"Anak kambing yang masih sangat muda, biasanya berusia beberapa hari hingga beberapa minggu, dan belum disapih dari induknya. Kata ini merupakan istilah khas dalam kosakata bahasa Jawa yang digunakan untuk merujuk pada ""kambing muda"" atau ""anak kambing"" dalam konteks peternakan tradisional.",,1,anak kambing | kambing muda,2,mesin
