lema,definisi_id,kunci,jumlah_kunci,kunci_asal,nusax_leksikon,nusax_nusawrites_teks,jv_wiktionary
Ageman,"Pakaian atau busana yang dikenakan oleh seseorang, biasanya merujuk pada pakaian yang memiliki nilai estetika, budaya, atau status sosial tertentu dalam tradisi masyarakat Jawa.",pakaian | busana | kemeja | pakaian jawa,4,penutur,0,0,0
Anduweni,"Kata kerja dalam bahasa Jawa yang berarti *memiliki*, menguasai, atau mempunyai sesuatu, baik benda maupun hal yang bersifat abstrak. Merupakan bentuk aktif dari konsep kepemilikan dalam register ""ngoko halus"" Jawa.",memiliki | mempunyai,2,penutur,0,0,0
Badogan,"Istilah dalam dialek Jawa Timur (Suroboyoan) yang merujuk pada ""makanan"" atau ""santapan"", digunakan dalam ragam *ngoko* sebagai padanan informal dari kata `pangan` atau `makanan` dalam bahasa Indonesia baku.",makanan,1,mesin,0,0,0
Biyayakan,"Perilaku berkendara, berjalan, atau berlari secara ugal-ugalan, serampangan, dan tidak hati-hati tanpa memperhatikan keselamatan. Terkadang ditulis ""byayakan"".",banyak tingkah | pecicilan | tidak bisa diam | ugal-ugalan | serampangan | tidak hati-hati,6,penutur,0,0,0
Biyuh,"Kata seru atau ""interjeksi"" dalam bahasa Jawa yang digunakan untuk mengekspresikan rasa heran, kagum, terkejut, atau takjub terhadap suatu kejadian atau keadaan. Kata ini berfungsi sebagai penanda emosi spontan yang setara dengan ""wah"" atau ""wadhuh"" dalam ragam Jawa Ngoko.",aduh | wah | astaga | waduh | walah,5,penutur,0,0,0
Bladak,"Gorengan khas daerah Semarang dan sekitarnya yang terbuat dari adonan tepung terigu dicampur sayuran seperti kol, tauge, dan wortel, digoreng hingga renyah, bentuknya pipih dan lebar menyerupai ""bakwan"" namun dengan tekstur yang lebih tipis dan garing.",bakwan | gorengan | lauk,3,penutur,0,0,0
Coeg,"Sebuah kata seru atau *interjeksi* vulgar yang digunakan untuk mengekspresikan kekesalan, kemarahan, atau keterkejutan yang mendalam. Merupakan variasi ejaan eufemisme dari term `cok` atau `jancuk` yang berfungsi sebagai makian kasar atau penekanan emosional dalam percakapan informal.",umpatan | panggilan akrab | kasar,3,penutur,0,0,0
dadi'ne,Sesuatu yang terjadi sebagai konsekuensi dari suatu sebab atau tindakan; hasil akhir dari suatu peristiwa.,jadinya | akibatnya,2,penutur,0,0,0
Dangak,"Posisi kepala yang mendongak ke atas, yaitu gerakan *menengadahkan* kepala sehingga wajah menghadap langit atau bagian atas. Kata ini merujuk pada sikap fisik tubuh bagian atas, khususnya pada area leher dan kepala, yang dianggap dapat menyebabkan ketidaknyamanan atau rasa sakit jika dilakukan terlalu lama.",menengadah | mendongak,2,penutur,0,0,0
Gakpati,"Adverbia penegas derajat yang bermakna *tidak terlalu* atau *tidak begitu*, digunakan untuk menyatakan bahwa suatu kondisi, kualitas, atau intensitas tidak mencapai tingkat yang ekstrem. Berasal dari pemendekan frasa `gak pati` dalam dialek Jawa Timuran, khususnya ragam Suroboyoan dan sekitarnya.",tidak terlalu,1,mesin,0,0,0
